name,description,school,school_id
Available Online,School offers fully online courses,springboard,11035
Flexible Classes,School offers part-time and evening classes,springboard,11035
Job Guarantee,School guarantees job placement,springboard,11035
Available Online,School offers fully online courses,dataquest,10683
Flexible Classes,School offers part-time and evening classes,dataquest,10683
Available Online,School offers fully online courses,syntax-technologies,11797
Flexible Classes,School offers part-time and evening classes,syntax-technologies,11797
Available Online,School offers fully online courses,ironhack,10828
Verified Outcomes,School publishes a third-party verified outcomes report,ironhack,10828
Flexible Classes,School offers part-time and evening classes,ironhack,10828
Available Online,School offers fully online courses,tripleten,11225
Flexible Classes,School offers part-time and evening classes,tripleten,11225
Job Guarantee,School guarantees job placement,tripleten,11225
Available Online,School offers fully online courses,colaberry,11718
Flexible Classes,School offers part-time and evening classes,colaberry,11718
Available Online,School offers fully online courses,maven-analytics,11740
Flexible Classes,School offers part-time and evening classes,maven-analytics,11740
Available Online,School offers fully online courses,udacity,11118
Flexible Classes,School offers part-time and evening classes,udacity,11118
Available Online,School offers fully online courses,brainstation,10571
Flexible Classes,School offers part-time and evening classes,brainstation,10571
Accepts GI Bill,School accepts the GI Bill,brainstation,10571
Available Online,School offers fully online courses,ccs-learning-academy,11736
Flexible Classes,School offers part-time and evening classes,ccs-learning-academy,11736
Job Guarantee,School guarantees job placement,ccs-learning-academy,11736
Available Online,School offers fully online courses,thinkful,11098
Verified Outcomes,School publishes a third-party verified outcomes report,thinkful,11098
Flexible Classes,School offers part-time and evening classes,thinkful,11098
Job Guarantee,School guarantees job placement,thinkful,11098
Available Online,School offers fully online courses,general-assembly,10761
Verified Outcomes,School publishes a third-party verified outcomes report,general-assembly,10761
Flexible Classes,School offers part-time and evening classes,general-assembly,10761
Accepts GI Bill,School accepts the GI Bill,general-assembly,10761
