id,graduatingYear,overallScore,curriculum,jobSupport,school_id
306638,2023,3.7,4.0,3.0,11035
306549,2023,4.3,5.0,4.0,11035
306505,2023,4.0,4.0,4.0,11035
306504,2023,4.0,4.0,4.0,11035
306451,2023,4.3,5.0,4.0,11035
306317,2023,5.0,5.0,5.0,11035
306260,2023,4.0,4.0,4.0,11035
306172,2023,5.0,5.0,5.0,11035
305884,2023,4.7,5.0,5.0,11035
305843,2023,5.0,5.0,5.0,11035
305728,2023,5.0,5.0,5.0,11035
305615,2023,5.0,5.0,5.0,11035
305548,2023,5.0,5.0,5.0,11035
305484,2023,5.0,5.0,5.0,11035
305372,2023,5.0,5.0,5.0,11035
305348,2023,4.0,4.0,4.0,11035
305279,2023,4.7,4.0,5.0,11035
305190,2023,5.0,5.0,5.0,11035
305121,2023,4.7,5.0,5.0,11035
304998,2023,5.0,5.0,5.0,11035
304926,2023,4.7,5.0,4.0,11035
304836,2023,4.7,5.0,5.0,11035
304817,2023,5.0,5.0,5.0,11035
304571,2023,5.0,5.0,5.0,11035
304535,2023,5.0,5.0,5.0,11035
304506,2023,5.0,5.0,5.0,11035
304499,2023,4.3,4.0,4.0,11035
304498,2023,4.3,4.0,5.0,11035
304468,2023,4.7,4.0,5.0,11035
304422,2023,4.0,4.0,4.0,11035
304324,2023,3.3,2.0,5.0,11035
304290,2023,5.0,5.0,5.0,11035
304258,2023,4.7,5.0,4.0,11035
304221,2023,4.0,4.0,4.0,11035
304220,2023,4.0,4.0,4.0,11035
304112,2023,5.0,5.0,5.0,11035
303904,2023,4.7,5.0,4.0,11035
303830,2023,5.0,5.0,5.0,11035
303740,2023,5.0,5.0,5.0,11035
303714,2023,4.3,5.0,4.0,11035
303681,2023,5.0,5.0,5.0,11035
303645,2023,5.0,5.0,5.0,11035
303599,2023,4.0,4.0,4.0,11035
303588,2023,5.0,5.0,5.0,11035
303555,2023,5.0,5.0,5.0,11035
303543,2023,4.7,5.0,4.0,11035
303504,2023,5.0,5.0,5.0,11035
303438,2023,4.7,5.0,4.0,11035
303221,2023,3.0,4.0,2.0,11035
303220,2023,3.0,4.0,2.0,11035
303059,2023,5.0,5.0,5.0,11035
302882,2023,5.0,5.0,5.0,11035
302839,2023,4.7,4.0,5.0,11035
302837,2023,5.0,5.0,5.0,11035
302687,2023,4.7,4.0,5.0,11035
302544,2023,5.0,5.0,5.0,11035
302536,2023,5.0,5.0,5.0,11035
302478,2023,3.7,4.0,3.0,11035
302265,2023,4.7,4.0,5.0,11035
302254,2023,5.0,5.0,5.0,11035
302242,2023,5.0,5.0,5.0,11035
302176,2023,3.7,4.0,3.0,11035
302107,2023,5.0,5.0,5.0,11035
302084,2023,3.7,4.0,3.0,11035
302046,2023,4.3,4.0,4.0,11035
302032,2023,5.0,5.0,5.0,11035
301963,2023,4.0,4.0,4.0,11035
301894,2023,5.0,5.0,5.0,11035
301881,2023,4.7,5.0,4.0,11035
301857,2023,3.7,5.0,1.0,11035
301819,2023,5.0,5.0,5.0,11035
301687,2023,5.0,5.0,5.0,11035
301580,2023,4.0,4.0,4.0,11035
301562,2023,5.0,5.0,5.0,11035
301487,2023,4.7,4.0,5.0,11035
301471,2023,5.0,5.0,5.0,11035
301457,2023,5.0,5.0,5.0,11035
301251,2023,5.0,5.0,5.0,11035
301209,2023,5.0,5.0,5.0,11035
301170,2023,5.0,5.0,5.0,11035
301017,2023,5.0,5.0,5.0,11035
300938,2023,3.7,3.0,4.0,11035
300817,2023,1.0,1.0,1.0,11035
300764,2023,5.0,5.0,5.0,11035
300704,2023,5.0,5.0,5.0,11035
300680,2022,4.3,4.0,4.0,11035
300677,2023,5.0,5.0,5.0,11035
300676,2023,5.0,5.0,5.0,11035
300606,2023,4.0,4.0,4.0,11035
300581,2022,1.3,2.0,1.0,11035
300324,2023,4.0,4.0,4.0,11035
300269,2023,3.7,3.0,3.0,11035
300265,2023,4.7,5.0,4.0,11035
300160,2023,5.0,5.0,5.0,11035
300091,2023,5.0,5.0,5.0,11035
300054,2023,4.7,5.0,4.0,11035
300046,2023,5.0,5.0,5.0,11035
299998,2023,4.0,4.0,4.0,11035
299943,2023,5.0,5.0,5.0,11035
299862,2023,4.3,5.0,4.0,11035
299857,2023,4.7,4.0,5.0,11035
299668,2023,4.3,5.0,4.0,11035
299642,2023,4.7,5.0,4.0,11035
299429,2023,5.0,5.0,5.0,11035
299405,2023,4.7,4.0,5.0,11035
299356,2022,1.0,1.0,1.0,11035
299218,2023,5.0,5.0,5.0,11035
299204,2023,5.0,5.0,5.0,11035
299162,2023,5.0,5.0,5.0,11035
299085,2023,4.7,5.0,4.0,11035
299064,2023,4.7,4.0,5.0,11035
298981,2023,5.0,5.0,5.0,11035
298978,2023,5.0,5.0,5.0,11035
298760,2023,5.0,5.0,5.0,11035
298672,2023,3.7,4.0,3.0,11035
298651,2023,5.0,5.0,5.0,11035
298648,2023,3.7,4.0,3.0,11035
298548,2023,4.0,4.0,4.0,11035
298530,2023,4.0,4.0,4.0,11035
298482,2023,5.0,5.0,5.0,11035
298438,2023,4.7,5.0,4.0,11035
298385,2022,5.0,5.0,5.0,11035
298375,2023,4.0,4.0,4.0,11035
298255,2023,5.0,5.0,5.0,11035
298171,2023,5.0,5.0,5.0,11035
298137,2023,5.0,5.0,5.0,11035
298136,2023,4.0,4.0,4.0,11035
