courses,school,school_id
Cyber Security Career Track,springboard,11035
Data Analytics Career Track,springboard,11035
Data Science Career Track,springboard,11035
Data Science Career Track Prep,springboard,11035
Front-End Web Development,springboard,11035
Introduction to Data Analytics,springboard,11035
Introduction to Design,springboard,11035
Software Engineering Career Track,springboard,11035
Software Engineering Career Track Prep Course,springboard,11035
Software Engineering Foundations to Core,springboard,11035
Tech Sales Career Track,springboard,11035
UI/UX Design Career Track,springboard,11035
UX Career Track,springboard,11035
Python for Data Analysis,dataquest,10683
R for Data Analysis,dataquest,10683
Cyber Security Course,syntax-technologies,11797
Data Analytics & Business Intelligence Course,syntax-technologies,11797
SDET Automation Testing Course,syntax-technologies,11797
Cyber Security Bootcamp,ironhack,10828
Cybersecurity Part-Time,ironhack,10828
Data Analytics Bootcamp,ironhack,10828
Data Analytics Part-Time,ironhack,10828
UX/UI Design Bootcamp,ironhack,10828
UX/UI Design Part-Time,ironhack,10828
Web Development Bootcamp,ironhack,10828
Web Development Part-Time,ironhack,10828
Business Intelligence Analytics,tripleten,11225
Data Analytics,tripleten,11225
Data Science,tripleten,11225
Quality Assurance Engineering,tripleten,11225
Software Engineering,tripleten,11225
Data Analytics,colaberry,11718
Data Science,colaberry,11718
Data Analyst Bootcamp (Part-Time),maven-analytics,11740
AI Programming with Python,udacity,11118
Al Product Manager,udacity,11118
Android Basics,udacity,11118
Android Developer,udacity,11118
Artificial Intelligence,udacity,11118
Artificial Intelligence for Trading,udacity,11118
Blockchain Developer,udacity,11118
Business Analytics,udacity,11118
C++,udacity,11118
Cloud Dev Ops Engineer,udacity,11118
Cloud Developer,udacity,11118
Computer Vision,udacity,11118
Data Analyst,udacity,11118
Data Engineer,udacity,11118
Data Structures and Algorithms,udacity,11118
Data Visualization,udacity,11118
Deep Learning,udacity,11118
Deep Reinforcement Learning,udacity,11118
Digital Marketing,udacity,11118
Front End Web Developer,udacity,11118
Full Stack Web Developer,udacity,11118
Introduction to Machine Learning,udacity,11118
Introduction to Programming,udacity,11118
iOS Developer,udacity,11118
Java Developer,udacity,11118
Machine Learning Engineer,udacity,11118
Marketing Analytics,udacity,11118
Natural Language Processing,udacity,11118
Predictive Analytics for Business,udacity,11118
React,udacity,11118
Robotics Software Engineer,udacity,11118
Self-Driving Car Engineer,udacity,11118
UX Designer,udacity,11118
Artificial Intelligence Course,brainstation,10571
Cybersecurity Course,brainstation,10571
Data Analytics Course,brainstation,10571
Data Science Bootcamp,brainstation,10571
Data Science Course,brainstation,10571
Design Leadership Course,brainstation,10571
Digital Marketing Course,brainstation,10571
Marketing Leadership Course,brainstation,10571
Product Leadership Course,brainstation,10571
Product Management Course,brainstation,10571
Python Course,brainstation,10571
Search Engine Marketing Course,brainstation,10571
Social Media Marketing Course,brainstation,10571
Software Engineering Bootcamp,brainstation,10571
User Experience Design Bootcamp,brainstation,10571
User Experience Design Course,brainstation,10571
User Interface Design Course,brainstation,10571
Web Development Bootcamp,brainstation,10571
Web Development Course,brainstation,10571
Cybersecurity Bootcamp,brainstation,10571
Cybersecurity Bootcamp,ccs-learning-academy,11736
Data Analytics & Business Intelligence Bootcamp,ccs-learning-academy,11736
Data Science & Data Engineering Bootcamp,ccs-learning-academy,11736
Full-Stack Developer Bootcamp,ccs-learning-academy,11736
Data Analytics Flex,thinkful,11098
Data Analytics Immersion,thinkful,11098
Data Science Flex,thinkful,11098
Digital Marketing Flex,thinkful,11098
Engineering Flex Program,thinkful,11098
Engineering Immersion,thinkful,11098
Technical Project Management Flex,thinkful,11098
UX/UI Design Immersion,thinkful,11098
UX/UI Flex,thinkful,11098
Data Analytics (Short Course),general-assembly,10761
Data Analytics Bootcamp (Full-Time),general-assembly,10761
Data Science (Short Course),general-assembly,10761
Data Science Bootcamp (Full-Time),general-assembly,10761
Digital Marketing (Short Course),general-assembly,10761
Front-End Web Development (Short Course),general-assembly,10761
JavaScript Development (Short Course),general-assembly,10761
Product Management (Short Course),general-assembly,10761
Python Programming (Short Course),general-assembly,10761
React Development (Short Course),general-assembly,10761
Software Engineering Bootcamp (Full-Time),general-assembly,10761
User Experience Design (Short Course),general-assembly,10761
User Experience Design Bootcamp (Full-Time),general-assembly,10761
Visual Design (Short Course),general-assembly,10761
